デバッグ,デバック,デバッグ技法,デバッグ方法,,,,,,,,,,,,,
デプロイ,デプロイメント,,,,,,,,,,,,,,,
バージョン管理,バージョンコントロール,バージョン管理システム,,,,,,,,,,,,,,
バグ,欠陥,,,,,,,,,,,,,,,
ファンクションポイント,機能規模計測,,,,,,,,,,,,,,,
プログラミング,基本機能の実装,プログラム製造,実装,プログラミング技法,開発技法,,,,,,,,,,,
プロジェクト管理,プロジェクトマネジメント,,,,,,,,,,,,,,,
プロトタイピング,プロトタイプ,ダーティプロトタイプ,,,,,,,,,,,,,,
マルチスレッド,マルチスレッドプログラミング,スレッド,スレッドプール,,,,,,,,,,,,,
モジュール設計,モジュール分割,モジュール化,,,,,,,,,,,,,,
モデリング,モデリング技法,モデル化技法,モデル化,,,,,,,,,,,,,
モデリング,ソフトウェアモデリング,,,,,,,,,,,,,,,
ユーザインタフェース設計,ユーザインターフェース設計,,,,,,,,,,,,,,,
ユースケース図,ユ ースケース図,,,,,,,,,,,,,,,
リスク分析,リスク分析モデル・技法,,,,,,,,,,,,,,,
レビュー,レビュー技法,レビュー技術,,,,,,,,,,,,,,
仕様作成,仕様策定,,,,,,,,,,,,,,,
保守,保守作業,,,,,,,,,,,,,,,
保守と進化,保守と発展,保守と進化のプロセス,,,,,,,,,,,,,,
停⽌性,プログラムの停止性,,,,,,,,,,,,,,,
再利用,ソフトウェアの再利用,部品化・再利用,,,,,,,,,,,,,,
品質技術,品質向上技術,,,,,,,,,,,,,,,
品質評価技法,品質評価方法,,,,,,,,,,,,,,,
回帰テスト,回帰テスト(リグレッションテスト),,,,,,,,,,,,,,,
形式手法,型式手法（形式手法）,,,,,,,,,,,,,,,
検証,検証と妥当性確認,,,,,,,,,,,,,,,
構成管理,構成管理ツール,変更・構成・バージョン管理,ソフトウェア構成管理,,,,,,,,,,,,,
構造化分析,構造化分析の基礎,構造化分析手法,構造化分析技法,構造化分析法,構造化分析,,,,,,,,,,,
構造化手法,構造化技法,構造化設計,構造化設計法,構造化開発手法,構造化・抽象化,構造化プログラミング,構造化モデル,構造体・オブジェクト指向,ソフトウェアの構造化,構造化,,,,,,
機能独立,機能独立性,,,,,,,,,,,,,,,
状態遷移図,状態図,状態遷移,状態遷移モデル,状態遷移図,,,,,,,,,,,,
統合テスト,ソフトウェア統合テスト,,,,,,,,,,,,,,,
統合開発環境,開発環境,ソフトウェア開発環境,ソフトウェア開発支援ツール,プログラミング環境,ソフトウェア開発支援ツール,ツールと環境,ツール統合機構,,,,,,,,,
継続的インテグレーション,CI,,,,,,,,,,,,,,,
複雑度のメトリクス,CK Metrics,Halstead's Complexity Metrics,McCabe's Cyclomatic Number,,,,,,,,,,,,,
要求仕様,要求仕様書,,,,,,,,,,,,,,,
設計,設計／実装工程,ソフトウェア設計,設計・再利用,設計作業,設計手法,,,,,,,,,,,
設計手法,設計技法,,,,,,,,,,,,,,,
詳細設計,ソフトウェア詳細設計,,,,,,,,,,,,,,,
開発環境,開発環境・開発ツール,開発環境整備,,,,,,,,,,,,,,
開発管理,ソフトウェア開発管理,,,,,,,,,,,,,,,
