シラバスID,番号,大学名,学科名,科目,,対象,状態,備考,Dropbox link,1. Software Requirements,2. Software Architecture,3. Software Design,4. Software Construction,5. Software Testing,6. Software Engineering Operations,8. Software Configuration Management,7. Software Maintenance,9. Software Engineering Management,10. Software Engineering Process,11. Software Engineering Models and Methods,12. Software Quality,近藤気になったワード
11,2,Carnegie Mellon University,SOFTWARE & SOCIETAL SYSTEMS,"Principles of Software Construction: Objects, Design, and Concurrency",https://cmu-17-214.github.io/f2021/,,,春秋,"Software engineers today are less likely to design data structures and algorithms from scratch and more likely to build systems from library and framework components. In this course, students engage with concepts related to the construction of software systems at scale, building on their understanding of the basic building blocks of data structures, algorithms, and program and computer structures. The course covers technical topics in four areas: (1) concepts of design for complex systems, (2) object-oriented programming, (3) static and dynamic analysis for programs, and (4) concurrency. At the conclusion of this course, students will have substantial experience building medium-sized software systems in Java. WAITLIST PROCESSING: Students with an SE minor will be considered first, followed by grade, and order you are on the waitlist.",,concepts of design for complex systems,object-oriented programming,construction of software systems,,,,,,,,,
12,2,Carnegie Mellon University,ELECTRICAL & COMPUTER ENGINEERING,Computer Systems and the Hardware-Software Interface,,,,秋のみ,"This course covers the design and implementation of computer systems from the perspective of the hardware software interface. The purpose of this course is for students to understand the relationship between the operating system, software, and computer architecture. Students that complete the course will have learned operating system fundamentals, computer architecture fundamentals, compilation to hardware abstractions, and how software actually executes from the perspective of the hardware/software boundary. The course will focus especially on understanding the relationships between software and hardware, and how those relationships influence the design of a computer system's software and hardware. The course will convey these topics through a series of practical, implementation-oriented lab assignments.",,computer architecture,design and implementation of computer systems,implementation-oriented,,,,,,,,,
13,2,Carnegie Mellon University,HUMAN-COMPUTER INTERACTION,Software Structures for User Interfaces,,,,秋のみ,"This course considers the basic and detailed concepts for building software to implement user interfaces (UIs). It considers factors of input, output, application interface, and related infrastructure as well as the typical patterns used to implement them. It considers how these aspects are organized and managed within a well-structured object oriented system. We will cover a variety of ""front-end"" programming contexts, including conventional graphical user interface (GUI) programming for mobile apps (phones, watches), web apps, and regular desktop applications, across a variety of frameworks. We will also cover programming for data-driven and conversational (AI) user interfaces. We will briefly touch on front-end programming for visualizations, games, 3D, and virtual and artificial reality (VR and AR), along with interactive UI tools such as prototypers and resource editors. The homeworks and project in this course will involve extensive object-oriented programming, likely in both Java and JavaScript, so this course is only appropriate for students with a strong programming background. Note that this is not an HCI methods course -- we do not cover user-centered design or evaluation methods. This course is designed for students in the SCS HCI undergrad Major, but it also available to any undergrad or graduate student with an interest in the topic and solid prior programming experience who wish to understand the structures needed for professional development of interactive systems. Note that all students who register for this class will initially be placed on a waitlist. Priority for getting into the class are students in the HCII programs (more senior students first), and then others. The graduate (05-631) and undergraduate (05-431) numbers are for the same course with the same work.",,,object oriented system,UI,,,,,,,,,
14,2,Carnegie Mellon University,SOFTWARE & SOCIETAL SYSTEMS,Software Engineering Reflection,,,,秋のみ,"This course is an opportunity to reflect on a software engineering experience you have had in industry. It is structured as a writers workshop, in which you will work with the instructor and other students to identify and flesh out a software engineering theme that is illustrated by your industry experience. You will prepare a 10-page report on this theme, comparable to a practitioner's report at a conference like ICSE or OOPSLA, and a 30-minute presentation to match. This course fulfills a requirement of the Software Engineering Minor program, but students in other programs may take the course if they meet the prerequisite industry experience and if space is available.",,,,,,,,,,,,,
15,2,Carnegie Mellon University,SCS INTERDISCIPLINARY,Introduction to Software Construction,,,,秋のみ,"Writing software can be very challenging. While software is often written to solve difficult problems, or implement complex algorithms, there are also challenges in the writing of software itself. In this course, students will learn the software construction skills that will help them throughout their career, both as students, and beyond. Students should expect to learn how to decompose an assignment/problem into subtasks, how to track their progress using milestones, evaluating sub regions of code for correctness, as well as finding and fixing faults in code. Students should expect to participate in a variety of in class activities, as well as work on a project implementing the skills they are learning in class.",,,,learn the software construction skills,,,,,,,,,
16,12,Purdue University,,Visual Design For Software,https://catalog.purdue.edu/search_advanced.php?catoid=17,分析対象外,,探せない,,,,,,,,,,,,,,
17,15,Università della Svizzera italiana,,Software Analysis,,分析対象外,,修士,https://search.usi.ch/en/courses/35270719/software-analysis,,,,tools,,,,,,,,,
18,15,Università della Svizzera italiana,,Software Performance,,分析対象外,,修士,https://search.usi.ch/en/courses/35270704/software-performance,,,,,,,,,,,,,
19,15,Università della Svizzera italiana,,Software Architecture,,分析対象外,,修士,https://search.usi.ch/en/courses/35270713/software-architecture,,Architectural Modeling,Modularity,Interfaces,,,,,,,,,
20,15,Università della Svizzera italiana,,Software Design & Modeling,,分析対象外,,修士,https://search.usi.ch/en/courses/35270708/software-design-modeling,,,object-oriented design mechanisms,,,,,,,,,,
,15,Università della Svizzera italiana,,Software Atelier 4: Software Engineering Project,,,,,https://search.usi.ch/en/courses/35270750/software-atelier-4-software-engineering-project,the basics of requirements engineering,,,,testing,"DevOps, CI/CD",,,,,,software quality,
,15,Università della Svizzera italiana,,Software Atelier 3: The Web,,,,,https://search.usi.ch/en/courses/35270748/software-atelier-3-the-web,,"client/server programming, model-view-controller",,"REST and HTTP, CSS3, HTML5, JSON",,,,,,,,,
,15,Università della Svizzera italiana,,Software Atelier 5: Field Project,,,,,https://search.usi.ch/en/courses/35270755/software-atelier-5-field-project,,,,,,,,,,,,,
,15,Università della Svizzera italiana,,Software Atelier 1: Fundamentals of Informatics,,,,,https://search.usi.ch/en/courses/35270747/software-atelier-1-fundamentals-of-informaticss,,,,,,,Versioning,,,,,,
21,17,National University of Singapore,,Software Development Fundamentals,,分析対象外,,,https://inetapps.nus.edu.sg/SACS/LifeLongLearning/CourseDetails/IT5001_TGS-2020502315/,,,,,,,,,,,,,
22,17,National University of Singapore,,Software Security,,分析対象外,,,https://inetapps.nus.edu.sg/SACS/LifeLongLearning/CourseDetails/CS5439_TGS-2020502890/,,,,,,,,,,,,,
23,17,National University of Singapore,,Architecting Software Solutions,,分析対象外,,,ない．コースがなくなった？,,,,,,,,,,,,,
24,11,Univ. of California - Irvine,,Software Engineering,https://catalogue.uci.edu/allcourses/swe/,分析対象外,,,,,,,,,,,,,,,,
25,11,Univ. of California - Irvine,,Software Architecture,,分析対象外,,,,,,,,,,,,,,,,
26,11,Univ. of California - Irvine,,Human Aspects of Software Engineering,,分析対象外,,,,,,,,,,,,,,,,
27,11,Univ. of California - Irvine,,Software Testing and Debugging,,分析対象外,,,,,,,,,,,,,,,,
28,11,Univ. of California - Irvine,,Distributed Software Architecture,,分析対象外,,,,,,,,,,,,,,,,
29,11,Univ. of California - Irvine,,Software Security and Dependability,,分析対象外,,,,,,,,,,,,,,,,
30,59,TU Wien,,Advanced Software Engineering	,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=9890&dsrid=479&semester=2025S&courseNr=188910,,architectures of large software systems,Software design patterns ,,testing,Continuous integration,Advanced build management ,,Lifecycle management ,Software Lifecycle ,,"System size and complexity 
System dependability, Quality of Service (QoS) ",
31,59,TU Wien,,Calculation Software	,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=8114&dsrid=461&semester=2025S&courseNr=234178,,,,,,,,,,,,,
32,59,TU Wien,,"Design Studio ""Hardware and Software in Architecture""",,分析対象外,,建築学っぽい,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=9089&dsrid=508&semester=2025S&courseNr=253N32,,,,,,,,,,,,,
33,59,TU Wien,,Management of Software Projects,,,,プロジェクト演習？,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=3536&dsrid=804&semester=2025S&courseNr=188407,,,,,,,,,cost calculation,,,Quality assurance and risk management,
34,59,TU Wien,,Operating Systems and Software Engineering for High Performance Computing Systems,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=6508&dsrid=963&semester=2025S&courseNr=360240,,,,,,,,,,,,,
35,59,TU Wien,,Seminar for Master Students in Software Engineering & Internet Computing,,分析対象外,,マスター,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=5690&dsrid=638&semester=2025S&courseNr=180777,,,,,,,,,,,,,
36,59,TU Wien,,Seminar in Software Engineering,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=2773&dsrid=672&semester=2025S&courseNr=194127,,,,,,,,,,,,,
37,59,TU Wien,,Software Engineering Project	,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=8960&dsrid=952&semester=2025S&courseNr=194149,,modern software architectures,Applying techniques for abstraction and modelling,Git,,,,,,,abstraction and modelling in software engineering,,
38,59,TU Wien,,Software Engineering Project	,,分析対象外,,かぶり,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=4376&dsrid=171&semester=2025S&courseNr=194148,,,,,,,,,,,,,
39,59,TU Wien,,Software Programming,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=5796&dsrid=922&semester=2025S&courseNr=362156,write appropriate documentation,,,,,,,,,,,,
40,59,TU Wien,,Software Quality Assurance,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=5802&dsrid=377&semester=2025S&courseNr=180764,requirements,,,,"review techniques，Derive test cases from requirements
Implement automated unit tests for a system
Implement test doubles for isolated testing",,,,,,,,
41,59,TU Wien,,Software Testing,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=1933&dsrid=947&semester=2025S&courseNr=188280,requirements,,,,,,,,,,,,
42,59,TU Wien,,Software for structural engineers,,分析対象外,,分野外？,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=5330&dsrid=153&semester=2025S&courseNr=242008,,,,,,,,,,,,,
43,59,TU Wien,,Software programming,,,,,https://tiss.tuwien.ac.at/course/courseDetails.xhtml?dswid=3635&dsrid=252&semester=2025S&courseNr=362108,,,,,,,,,,,,,
44,70,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Elements of Software Construction,https://ocw.mit.edu/,,,他学科は見ていない,https://ocw.mit.edu/courses/6-005-elements-of-software-construction-fall-2008/,,,object-oriented programming,implementation,"testing, test-case generation,coverage",,,,,,modeling,,
45,70,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Software Studio,,,,,https://ocw.mit.edu/courses/6-170-software-studio-spring-2013/,,,,,,,,,,,,,
46,70,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Software Construction,,,,,https://ocw.mit.edu/courses/6-005-software-construction-spring-2016/,specifications,,design patterns,Construction,testing,,,"easy to understand, and ready for change",,,,,
47,70,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Software Engineering for Web Applications,,,,,https://ocw.mit.edu/courses/6-171-software-engineering-for-web-applications-fall-2003/,,distributed computing,,,testing with users,,,,absurd development schedules,,,,
48,70,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Performance Engineering of Software Systems,,,,,https://ocw.mit.edu/courses/6-172-performance-engineering-of-software-systems-fall-2018/,,scalable systems,,,,,,,,,,,
49,70,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Laboratory in Software Engineering,,,,,https://ocw.mit.edu/courses/6-170-laboratory-in-software-engineering-fall-2005/,,,,,,,,,,,,,
50,89,University of Adelaide,Computer Science,COMPSCI 732 - 2024 Semester One - Course Outline,https://www.adelaide.edu.au/course-outlines/,,,,https://www.dropbox.com/scl/fi/p5lj29g1s0fe2b57j6aoz/COMPSCI-732-2024-Semester-One-Course-Outline.pdf?rlkey=ptilpwn3085fiinsvoay2fxtq&st=8kma9bs2&dl=0,,Software architecture,Software design,Software Development tools,,Operation,,,management tool,state-of-the-art software development,,high-quality software,
51,89,University of Adelaide,Computer Science,COMPSCI 701 - 2024 Semester Two - Course Outline,,,,,https://www.dropbox.com/scl/fi/nrb5iguyi0gh4tkql00pr/COMPSCI-701-2024-Semester-Two-Course-Outline.pdf?rlkey=2w3l4vt088rzswnc70vs6fm0q&st=22ni0th3&dl=0,,,,,"Test-driven development, testablity",,,maintainable software,lifetime cost,test-driven development,,software quality,
52,89,University of Adelaide,Computer Science,COMPSCI 331 - 2024 Semester One - Course Outline,,,,,https://www.dropbox.com/scl/fi/mvygrdos5c8enwplya4u6/COMPSCI-331-2024-Semester-One-Course-Outline.pdf?rlkey=sp75x07myd40jx0x2057k8pxp&st=do4cmmyw&dl=0,,,,,,deployment,System building,maitenance,management,develop large-scale software systems,,quality attributes,
53,89,University of Adelaide,Computer Science,COMPSCI 235 - 2024 Semester Two - Course Outline,,,,,https://www.dropbox.com/scl/fi/vai0ey4kkrcs3voduz8wo/COMPSCI-235-2024-Semester-Two-Course-Outline.pdf?rlkey=s38x7aod8h38g8u2kph1zxb99&st=tzk508as&dl=0,,,design pattern,,"software testing, code review",,Build tools,,,"processes, agile methodologies","agile methodologies, data modeling",quality assurance techniques,
54,89,University of Adelaide,Computer Science,COMPSCI 230 - 2024 Semester Two - Course Outline,,,,,https://www.dropbox.com/scl/fi/w8vrmf3fzi8r6ua8sfvxq/COMPSCI-230-2024-Semester-Two-Course-Outline.pdf?rlkey=5y4mlvbaz0n0mg8mpojzq2g85&st=hlkvdm5h&dl=0,UML,,"object-oriented programming, design",,,,,,,develop software applications,Modelling with UML,quality,
55,89,University of Adelaide,Computer Science,COMPSCI 230 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/lxibm2v3vziqbrd10j15l/COMPSCI-230-2024-Semester-One-Course-Outline.pdf?rlkey=c0yx0r4lytf3dbl2yb9r3p64u&st=qpwsgw1l&dl=0,,,,,,,,,,,,,
56,89,University of Adelaide,Computer Science,COMPSCI 130 - 2024 Summer School - Course Outline,,,,,https://www.dropbox.com/scl/fi/v21tpjzb4ullnykt409eb/COMPSCI-130-2024-Summer-School-Course-Outline.pdf?rlkey=bhbpvkzfcrflm2tpzpaidwkci&st=dao6bq9e&dl=0,,,,programming code,"testing, reviewing",,,,,"process, software development",,"testing, debugging",
57,89,University of Adelaide,Computer Science,COMPSCI 130 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/1nkjlc9ae0ldx79pbal8t/COMPSCI-130-2024-Semester-Two-Course-Outline.pdf?rlkey=u9xl4b29ssdmgde5rbfawjf7x&st=x3sgyqkl&dl=0,,,,,,,,,,,,,
58,89,University of Adelaide,Computer Science,COMPSCI 130 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/yz3kgylupoff7zjwvrr9d/COMPSCI-130-2024-Semester-One-Course-Outline.pdf?rlkey=gcqo48r2764xehso8r6skjlxn&st=wi9icx2j&dl=0,,,,,,,,,,,,,
59,96-1,University of Auckland,Computer Science,COMPSCI 732 - 2024 Semester One - Course Outline,https://courseoutline.auckland.ac.nz/dco,分析対象外,,被り,https://www.dropbox.com/scl/fi/p5lj29g1s0fe2b57j6aoz/COMPSCI-732-2024-Semester-One-Course-Outline.pdf?rlkey=ptilpwn3085fiinsvoay2fxtq&st=e4ofw31i&dl=0,,,,,,,,,,,,,
60,96-1,University of Auckland,Computer Science,COMPSCI 701 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/nrb5iguyi0gh4tkql00pr/COMPSCI-701-2024-Semester-Two-Course-Outline.pdf?rlkey=2w3l4vt088rzswnc70vs6fm0q&st=1lwzxa1r&dl=0,,,,,,,,,,,,,
61,96-1,University of Auckland,Computer Science,COMPSCI 331 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/mvygrdos5c8enwplya4u6/COMPSCI-331-2024-Semester-One-Course-Outline.pdf?rlkey=sp75x07myd40jx0x2057k8pxp&st=nvz87215&dl=0,,,,,,,,,,,,,
62,96-1,University of Auckland,Computer Science,COMPSCI 235 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/vai0ey4kkrcs3voduz8wo/COMPSCI-235-2024-Semester-Two-Course-Outline.pdf?rlkey=s38x7aod8h38g8u2kph1zxb99&st=0ueysbcf&dl=00,,,,,,,,,,,,,
63,96-1,University of Auckland,Computer Science,COMPSCI 230 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/w8vrmf3fzi8r6ua8sfvxq/COMPSCI-230-2024-Semester-Two-Course-Outline.pdf?rlkey=5y4mlvbaz0n0mg8mpojzq2g85&st=y7ihitpy&dl=0,,,,,,,,,,,,,
64,96-1,University of Auckland,Computer Science,COMPSCI 230 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/lxibm2v3vziqbrd10j15l/COMPSCI-230-2024-Semester-One-Course-Outline.pdf?rlkey=c0yx0r4lytf3dbl2yb9r3p64u&st=ht39s18s&dl=0,,,,,,,,,,,,,
65,96-1,University of Auckland,Computer Science,COMPSCI 130 - 2024 Summer School - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/v21tpjzb4ullnykt409eb/COMPSCI-130-2024-Summer-School-Course-Outline.pdf?rlkey=bhbpvkzfcrflm2tpzpaidwkci&st=ilvxv9rt&dl=0,,,,,,,,,,,,,
66,96-1,University of Auckland,Computer Science,COMPSCI 130 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/1nkjlc9ae0ldx79pbal8t/COMPSCI-130-2024-Semester-Two-Course-Outline.pdf?rlkey=u9xl4b29ssdmgde5rbfawjf7x&st=9pjahzqf&dl=0,,,,,,,,,,,,,
67,96-1,University of Auckland,Computer Science,COMPSCI 130 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/yz3kgylupoff7zjwvrr9d/COMPSCI-130-2024-Semester-One-Course-Outline.pdf?rlkey=gcqo48r2764xehso8r6skjlxn&st=o2mu162c&dl=0,,,,,,,,,,,,,
68,96-2,University of Birmingham,"Elec, Elec & Sys Engineering",LI Multidisciplinary Systems and Software Engineering,,,,,https://www.dropbox.com/scl/fi/cdgbdv5dnpjlibv8djgci/LI-Multidisciplinary-Systems-and-Software-Engineering.pdf?rlkey=3cb17fnctrnvd1dgwt1phy8t5&st=hgw5e9sf&dl=0,Identify requirements,create software architecture,,tools,Software Verification and Valiation,,Manage System Change,software engineering management,manage,software process,formal coding methods,"system risks, software quality attributes",
69,96-2,University of Birmingham,Mathematics,LI Statistical Software,,分析対象外,,統計の授業,https://www.dropbox.com/scl/fi/78omutgt2z7kb90xz5r64/LI-Statistical-Software.pdf?rlkey=ivrihzriuo0z29xoxxygfxxy3&st=bkznimnf&dl=0,,,,,,,,,,,,,
70,96-2,University of Birmingham,Computer Science,LI Software Engineering and Professional Practice,,,,,https://www.dropbox.com/scl/fi/xharte3wqvjx5y5gh1txj/LI-Software-Engineering-and-Professional-Practice.pdf?rlkey=rzv4sjfzs03xmgv8ai5hkmwpj&st=a6m06tft&dl=0,requirements,architecting,designing,,testing,,,,project management,,modeling,"software quality assurance, testing",
71,96-2,University of Birmingham,Computer Science,LI Software Engineering and Professional Practice,,分析対象外,,被り,https://www.dropbox.com/scl/fi/e3x2vb2moh9t6bquw6tqi/LI-Software-Engineering-and-Professional-Practice-1.pdf?rlkey=0x08iarlnbkjwilnq4bj50rjw&st=5s40grm3&dl=0,,,,,,,,,,,,,
72,96-2,University of Birmingham,Computer Science,LI Software Workshop 1,,,,,https://www.dropbox.com/scl/fi/2lfm9ae7cy5w3s9uz6amw/LI-Software-Workshop-1.pdf?rlkey=nl7c4ny4dmbkwy4kv65hzj2gp&st=05sdw96o&dl=0,,,"object oriented, design",,,,,,,,,program testing,
